date,hospitalized_total_covid_patients_suspected_and_confirmed_including_icu,hospitalized_covid_patients_in_icu_suspected_and_confirmed
2020-04-29,55,21.0
2020-04-30,55,22.0
2020-05-01,50,20.0
2020-05-02,39,18.0
2020-05-03,50,20.0
2020-05-04,48,20.0
2020-05-05,49,19.0
2020-05-06,53,21.0
2020-05-07,56,21.0
2020-05-08,44,20.0
2020-05-09,37,18.0
2020-05-10,40,19.0
2020-05-11,41,20.0
2020-05-12,44,22.0
2020-05-13,44,17.0
2020-05-14,34,16.0
2020-05-15,32,13.0
2020-05-16,32,12.0
2020-05-17,42,12.0
2020-05-18,37,15.0
2020-05-19,38,12.0
2020-05-20,33,13.0
2020-05-21,30,10.0
2020-05-22,26,8.0
2020-05-23,33,4.0
2020-05-24,19,4.0
2020-05-25,24,4.0
2020-05-26,25,6.0
2020-05-27,24,8.0
2020-05-28,23,7.0
2020-05-29,19,7.0
2020-05-30,20,7.0
2020-05-31,18,8.0
2020-06-01,19,7.0
2020-06-02,16,7.0
2020-06-03,18,7.0
2020-06-04,15,7.0
2020-06-05,13,5.0
2020-06-06,11,4.0
2020-06-07,13,5.0
2020-06-08,12,3.0
2020-06-09,10,5.0
2020-06-10,10,5.0
2020-06-11,7,3.0
2020-06-12,8,4.0
2020-06-13,6,3.0
2020-06-14,6,3.0
2020-06-15,3,1.0
2020-06-16,4,0.0
2020-06-17,2,0.0
2020-06-18,6,0.0
2020-06-19,8,0.0
2020-06-20,3,0.0
2020-06-21,4,1.0
2020-06-22,5,1.0
2020-06-23,6,2.0
2020-06-24,6,2.0
2020-06-25,6,3.0
2020-06-26,7,3.0
2020-06-27,5,1.0
2020-06-28,4,3.0
2020-06-29,4,2.0
2020-06-30,5,2.0
2020-07-01,5,2.0
2020-07-02,5,2.0
2020-07-03,4,1.0
2020-07-04,3,0.0
2020-07-05,3,0.0
2020-07-06,4,2.0
